,mR,mG,mB,stdR,stdG,stdB,varR,varG,varB,Dc1,Dc2,Dc3,De1,De2,De3,ID
69,75.6916,79.3764746667,80.5139093333,84.95069308,83.3267498956,83.2914492202,7216.62025477,6943.34724816,6937.4655132,0.00455977950219,0.0234603195379,0.0104078521212,5503.51469517,11586.6713943,7393.35269009,13416.0
70,140.773502976,143.051089286,139.322848214,114.55555774,113.983029295,116.021799771,13122.9758092,12992.1309673,13461.058022,0.001138573014,0.00338392621077,0.00148135312097,3441.4512927,5626.10113667,4385.37786285,16956.0
71,184.751712676,169.683332394,156.043042254,87.1090120895,89.9694400413,95.2455688713,7587.97998721,8094.50014135,9071.71838962,0.0320296539663,0.125872735181,0.039562641469,16178.2127876,32520.2438798,17794.2914723,12169.0
72,110.513749326,87.7675525606,67.7639514825,72.1028586538,61.8160873303,50.7655340847,5198.82222605,3821.22865282,2577.13945091,0.0824271815004,0.152758860512,0.0593209561979,22445.7438059,35522.0709841,18217.7457991,19732.0
73,116.662210667,117.475469333,92.025624,59.6478338,40.2244975553,45.4886660984,3557.86407703,1618.01020358,2069.21874341,0.327560684104,1.04318149931,0.445167707629,27039.9897929,49250.7854557,29397.0987344,19074.0
74,129.059826667,115.681325333,127.358189333,101.391369715,91.8088764978,93.8932365424,10280.2098528,8428.86980379,8815.9398684,0.204856291475,0.588724224137,0.188859269353,39137.595685,65004.954365,35689.8901371,28797.0
75,133.117396914,98.6167208976,60.092,106.32212887,78.4466875207,35.0290071977,11304.3950875,6153.88278296,1227.03134526,0.0783639519317,0.327096623659,0.213972721549,34166.8720108,67688.1892209,40253.7624701,15041.0
76,80.730630749,15.6891642576,18.0648068331,81.7721635919,31.2385511653,32.180688577,6686.6867385,975.847078907,1035.59671729,0.637483015386,0.686746611351,0.0216239982553,61810.5986866,61686.6745902,4362.0955973,27618.0
77,182.674016,150.506192,145.947568,82.9082715361,99.1129984294,96.9307046927,6873.7814891,9823.38645766,9395.56151222,0.110355657132,0.18659069124,0.0235396674579,34155.9495549,41281.7128036,13386.1728661,19243.0
78,95.224448,87.9119253333,67.3181066667,85.0779467024,83.0552196565,65.3777872789,7238.2570151,6898.16951219,4274.25506948,0.133830551131,0.688528880575,0.584300524353,27034.0244507,57531.5404626,51534.1931731,20481.0
79,150.867626667,133.540472,97.367464,78.1626761908,73.648912547,60.8000527374,6109.4039493,5424.16231935,3696.64641288,0.0660396563602,0.219847126868,0.101480267254,20133.2896716,44384.4771401,29889.8484774,28524.0
80,105.399730978,78.474111413,55.6152798913,76.560007691,64.581937662,53.2212677506,5861.43477765,4170.82667217,2832.50334098,0.0528597558815,0.197652714971,0.0715218080583,22626.422342,41295.0136699,20511.3705539,25778.0
81,99.9484307692,99.0969594406,88.7028475524,91.2988103733,76.6774050671,73.4757552116,8335.47277558,5879.42444782,5398.68660392,0.243321424565,0.31874862448,0.0361786935886,35980.6606248,41080.6496054,13712.2278642,11985.0
